"","이름"
"1","삼성전자(주)"
"2","LG전자(주)"
"3","(주)KB금융지주"
"4","농협금융지주 주식회사"
"5","(주)신한금융지주회사"
"6","(주)하나금융지주"
"7","주식회사 하나은행"
"8","한국산업은행"
"9","삼성디스플레이 주식회사"
"10","(주)메리츠금융지주"
"11","(주)우리은행"
"12","엘지디스플레이(주)"
"13","(주)케이티"
"14","(주)신한은행"
"15","(주)국민은행"
"16","(주)한국스탠다드차타드은행"
"17","SK텔레콤(주)"
"18","중소기업은행"
"19","한국투자금융지주(주)"
"20","(주)한국씨티은행"
"21","농협은행 주식회사"
"22","(주)LG유플러스"
"23","삼성SDI(주)"
"24","삼성에스디에스(주)"
"25","엘지이노텍(주)"
"26","한국수출입은행"
"27","삼성전기(주)"
"28","모건스탠리은행"
"29","현대엔지니어링(주)"
"30","삼성엔지니어링(주)"
"31","호주뉴질랜드"
"32","(주)DGB금융지주"
"33","네이버(주)"
"34","(주)BNK금융지주"
"35","(주)다우데이타"
"36","LS전선(주)"
"37","(주)다우기술"
"38","(주)카카오"
"39","롯데하이마트(주)"
"40","에스케이브로드밴드(주)"
"41","(주)씨제이이엔엠"
"42","주식회사엘지씨엔에스"
"43","삼성전자판매 주식회사"
"44","효성중공업(주)"
"45","주식회사 하이프라자"
"46","(주)대구은행"
"47","희성전자주식회사"
"48","(주)부산은행"
"49","넷마블(주)"
"50","(주)JB금융지주"
"51","주식회사 유라"
"52","(주)엔씨소프트"
"53","엘에스일렉트릭 주식회사"
"54","(주)아이티센"
"55","(주)한샘"
"56","현대일렉트릭앤에너지시스템(주)"
"57","씨제이이앤엠(주)"
"58","엔에이치엔(주)"
"59","(주)크래프톤"
"60","한화시스템(주)"
"61","우리바이오(주)"
"62","대한전선(주)"
"63","삼지전자(주)"
"64","현대오토에버(주)"
"65","소니코리아주식회사"
"66","(주)뉴옵틱스"
"67","(주)경남은행"
"68","에이치엘그린파워주식회사"
"69","(주)엠씨넥스"
"70","한화큐셀코리아(주)"
"71","(주) 넥슨코리아"
"72","세방전지(주)"
"73","(주)지에스홈쇼핑"
