"","questions"
"1","본인의 석사기간 연구 주제는 무엇이었나요?"
"2","수행했던 연구과제가 지원 직무와 어떤 연관이 있나요?"
"3","문제풀이 내용과 관련하여 답변의 근거는 무엇인가요?"
"4","자기소개를 해보세요."
"5","힘든점은 없었나요?"
"6","마지막으로 하고 싶은 말은?"
"7","반도체 전공인데 왜 보안을 지원했나요?"
"8","자신이 기여할 수 있는 부분이 어떤 부분이라고 생각하나요?"
"9","우리 회사에 지원한 이유는?"
"10","무모한 도전을 해본 적 있습니까?"
"11","자기소개서를 보면 좋게말하면 다재다능이지만, 돌려말하면 직무에 연관된 점은 적은데 이건 어떻게 생각하십니까?"
"12","급박한 상황에 대한 대처경험이 있습니까?"
"13","DoD란?"
"14","ESS 종류와 쓰임에 대해 말해보세요."
"15","AMI가 단순히 통신장비인가?"
"16","DoD란?"
"17","ESS 종류와 쓰임에 대해 말해보세요."
"18","AMI가 단순히 통신장비인가?"
"19","다수의 신입사원들이 1년 안에 퇴사하는 이유가 뭐라고 생각하나"
"20","주말 출근이 가능한가"
"21","왜 KT에 지원했나"
"22","지원하신 직무에 대해 어떻게 알고 계십니까?"
"23","대리점을 돌아보고 느낀 점은?"
"24","마지막으로 하고 싶은 말은?"
"25","KT에서 어떤일을 하고싶나"
"26","본인이 이 직무에 적합한가"
"27","KT 매장 가봤나"
"28","삶의 원동력이 무엇인가"
"29","대외활동을 다양하게 참여하는 것 같은데, 시간 관리 하는 노하우가 있는 가"
"30","신사업을 기획하고 싶다고 하였는데 이를 위해 어떤 노력을 하고 있는가"
"31","하급자와 협업한 경험에 대해 말해달라."
"32","상급자와 협업한 경험을 말해달라."
"33","수평적 관계에서 협업한 경험을 말해달라."
"34","기억에 남는 조직활동"
"35","리더쉽을 발휘한 경험"
"36","지원한 직무가 뭐라고 생각하는지 ?"
"37","지원자 본인이 팀으로 활동하면서 얻었던 성과는 무엇이며, 팀 내에서의 역할은 무엇이었습니까?"
"38","창의적으로 문제를 해결한 경험이 있는가?"
"39","본인이 이 직무에 적합하다고 생각하는 이유는?"
"40","KT에서 어떤일을 하고싶은지"
"41","IT컨설팅에 대해서 알고 있는 것은?"
"42","더 하고싶은 말이 있는지"
"43","왜 KT에 지원했나요?"
"44","입사 후 포부에 대해서 말해보세요."
"45","OSI 7계층에 대해서 설명해보세요."
"46","KT가 앞으로 어떤 미래사업에 투자해야 할지 말해보세요."
"47","KT의 장점과 그렇게 말할 수 있는 근거를 대보세요. 
또한 그러한 KT의 장점을 잘 살릴 수 있는 방안에 대해서 말해보세요."
"48","가장 기억에 남는 활동에 대해 말해보세요."
"49","리더 경험만 너무 많다고 생각하지 않나요?"
"50","무슨 과인가?"
"51","발표한 내용에서 어떻게 구체적으로 성과를 냈는지 말해보시오."
"52","언제부터 이걸 준비했나?"
"53","준비과정에서 어려움은 얼마나 있었나?"
"54","서버, 보안 등 네트워크 이외의 지식도 있는가?"
"55","빅데이터에 관해 설명해봐라."
"56","황금주파수가 무엇인가?"
"57","show, olleh, qook이 뭔지 아느냐 설명해봐라."
"58","본인이 했던 인턴 경험이 해당 직무와 어떻게 관련이 있는지 말해보시오."
"59","프로모션 기획안에 예산 부문에 있어서 어떻게 자금 조달을 할 것인가?"
"60","프로모션 장소 협의는 어떻게 할 것인가?"
"61","대외 활동 많이 하고 성적이 좋은데, 어떻게 관리했나?"
"62","통신사에 왜 지원했는가?"
"63","자신있는 언어는 무엇인가?"
"64","전공이 KT에 어떤 기여를 할 수 있는지 설명하시오."
"65","최후 변론과 궁금한 점에 대해 말해보시오."
"66","풍력 발전기의 최신 기술을 설명하시오."
"67","해왔던 프로젝트에 대해 설명해보시오."
"68","협업 시 생긴 문제를 해결한 경험이 있는가?"
"69","고객이 부당한 요구를 한다면 어떻게 할 것인가?"
"70","그동안 해당 직무에서 일하기 위해서 본인이 준비해온 것은 무엇인가?"
"71","만약에 신규 매장에 갔을 때 어떻게 하겠는가?"
"72","영업 관련하여 아르바이트를 한 경험이 있는가?"
"73","왜 이 직무를 선택했는가?"
"74","프로젝트에서 본인이 맡은 역할, 준비한 기간, 결과 등을 자세히 말해보시오."
"75","중국의 도전을 이겨낼 LG와 삼성의 전략은 어때야 하는가?"
"76","KT의 세계 진출 전략은 어때야 하는가?"
"77","교환학생을 다녀왔는데, 왜 다녀왔는가?"
"78","미래 KT의 계획에 대한 생각을 말해보시오."
"79","본인의 스트레스 해소법에 대해 말해보시오."
"80","올해 초 주파수 경매가 있었는데, 이에 대해 아는 대로 얘기해봐라."
"81","이 프로젝트를 한 이유는? 거기서 본인이 한 역할은 무엇이며, 무엇을 배웠는가?"
"82","케이티에 대해 구글링해서 나오는 것을 제외하고 알고있는 것"
"83","KT에서 하고 싶은 게 뭡니까?"
"84","KT의 해외 확장 가능성에 대해 말해보시오."
"85","인생을 살면서 힘든 경험이 있었는가?"
"86","KT의 폰브렐라, 폰다이어리 등 폰 프로젝트를 알고 있는가? 그와 연관된 신제품 아이디어가 있는가?"
"87","1분 자기소개해보시오."
"88","마지막으로 할 말이 있는가?"
"89","본인의 경험을 직무에 어떻게 적용시킬 수 있나?"
"90","조직 내에서 갈등을 해결한 경험이 있는지?"
"91","지원 직무와 아르바이트 경험과 어떤 관련이 있는지 이야기해보시오."
"92","해당 직무가 어떤 일은 하는지 아는가?"
"93","가장 힘들었던 일에 대해 얘기해주세요."
"94","졸업 작품에 대해 설명해주세요."
"95","마지막 한마디를 해보세요."
"96","마지막으로 하고 싶은 말이 있다면 해보세요."
"97","획기적인 KT 홍보 방안에 대해 발표해보세요."
"98","KT에 지원한 이유가 무엇인가요?"
"99","프로젝트 도중 팀원과 갈등 상황이 생겼을 때의 해결 방법을 말해보세요."
"100","IoT가 다음 세대의 화두가 될 것이라 얘기했는데, 생각해 본 상품이 있나요?"
"101","아르바이트 경험이 많은데, 아르바이트를 많이 한 이유라도 있나요?"
"102","자기소개서 모든 항목에 대해 설명해보세요."
"103","지원자가 겪었던 조직에서의 갈등 경험과 그것을 어떻게 해결했는지 말해보세요."
"104","kt에 대해 아는 것은 무엇입니까?"
"105","케이티의 신기술에 대해 아는 것이 있습니까?"
"106","네트워크에서 오류 제어 방식 중 backward 방식과 forward 방식이 있는데, 두 가지에 대해 아는 대로 설명해보세요."
"107","자기소개서에 있는 내용 말고 다른 프로젝트를 하면서 겪었던 어려움이 있나요?"
"108","지원자가 소프트웨어 개발을 좋아하는 것 같은데, KT는 개발과는 거리가 좀 있는 편입니다. 알고 있나요?"
"109","살아오면서 가장 힘들었던 점에 대해 말해보세요."
"110","스트레스는 어떻게 해소하는 편인가요?"
"111","영업마케팅 직무와 관련된 특별한 경험이 있나요?"
"112","IT 관련 지식이 있나요?"
"113","동아리 활동을 하며 어떤 일을 했고, 무엇을 배웠는가?"
"114","학점이 낮은 이유는 무엇인가?"
"115","본인이 유통ㅍ채널 관리에 적합하다고 생각한 이유가 뭔가요?"
"116","왜 다른 통신사가 아닌 kt를 지원하였나요?"
"117","가장 관심 있는 외국, 그 나라에 대한 신문 스크랩의 내용을 말해보시오"
"118","술 잘 마시는가?"
"119","왈가닥이라는 말을 많이 듣는 편인가? 내숭이라는 말을 많이 듣는 편인가?"
"120","지금 우리 면접관들의 겉모습을 사자성어로 표현해보시오"
"121","집에 인터넷을 뭐 쓰고 있는가?"
"122","마지막으로 하고 싶은 말이 있다면 해보세요."
"123","본인의 30년 후 모습에 대해 이야기해보세요."
"124","사용할 수 있는 프로그래밍 언어는 어떤 것이 있나요?"
"125","지원자는 리더와 묵묵히 일하는 팀원 중 어느 유형에 속하나요?"
"126","네트워크 직무에서 가장 필요한 역량은 무엇이라고 생각하나요?"
"127","고객, 회사, 상사 셋 중 무엇이 가장 중요하다고 생각하나요?"
"128","지원한 직무와 향후 하고 싶은 일의 사업팀이 아예 다른데, 직무순환이 불가능 한 상황입니다. 어떻게 할 것 인가요?"
"129","고객과의 트러블이 있을 경우 어떻게 해결할 것인가?"
"130","난감했던 경험이 있는가?"
"131","대하기 어려운 상사를 경험한 적이 있는가?"
"132","대하기 어려운 상사를 어떻게 대처했는가?"
"133","본인이 생각하는 영업이란 무엇인가?"
"134","본인이 선택한 답이 진짜 맞다고 생각하는가?"
"135","학점이 좀 낮은데 왜 낮은지?"
"136","휴학기간동안 무엇을 했는지?"
"137","다른 기업이나 통신사도 있는데 왜 KT를 지원했는가?"
"138","어떤 언어를 통해서 개발을 하였는가?"
"139","지원한 직무군의 서비스에서 가장 중요한게 무엇인가?"
"140","학교에서 과제를 진행하면서 리더를 하면 후배들이나 동료들에게 일을 시켜야 하는데 어떻게 시켰나? 시키는데 힘든점은 무엇이었는가? 어떻게 해결했는가?"
"141","해당 직무에서 10년 후 포부 혹은 하고싶은 연구가 무엇인가?"
"142","Controller와 Switch간의 연결은 어떤 식으로 하는가?"
"143","SDN 기술에 대한 정보는 어떻게 얻었는가?"
"144","SDN기술에 대한 정보는 어떻게 얻었는가?"
"145","20대의 트렌드를 분석하고 KT CS의 신사업 혹은 마케팅 아이디어를 제시하시오"
"146","옆에 지원자가 부정을 저지르면 어떻게 할 것인가?"
"147","유선 상품을 대리점 말고 어디서 파는지 아는가?"
"148","지원한 지역에서 새로운 상품인 기가 인터넷이 얼마나 팔릴 것 같은가?"
