"","unlist.questions."
"1","회사 지원동기를 말해보세요."
"2","1분 자기소개와 마지막 할말을 해보세요."
"3","회사 지원동기를 말해보세요."
"4","반도체쪽 연구소에서 어떤부분에 기여할수 있나요?"
"5","박사과정은 왜 안했나요?"
"6","마지막으로 못다한 어필하고싶은 말이 있나요?"
"7","자기소개를 해보세요."
"8","친구들이 이야기하는 본인의 장단점이 무엇인가요?"
"9","다른 업무 포지션으로 제안을 받았을 때 어떻게 할건가요?"
"10","자기소개서에 있는 실험 내용에 대해 설명해주세요."
"11","군대를 수색대 나왔는데, 어렵지 않았나요?"
"12","학점과 여러가지 경험을 함께 쌓은 노하우를 말해주세요."
"13","왜 해당 산업을 선택하셨습니까?"
"14","왜 지원 직무에 지원하였습니까?"
"15","어떤 가치관/인생의 목표를 지향하면서 살고 있습니까?"
"16","이 프로젝트를 어떻게 실무에 적용할 것입니까?"
"17","인생에서 가장 후회되는 순간은?"
"18","반도체 공정에 대해 말해보세요."
"19","반도체에 대해 아는 것을 말해보세요."
"20","자신의 인생에서 가장 중요한 것 5가지를 말씀해주세요."
"21","존경하는 인물은 누구인가요?"
"22","본인의 장점과 단점을 말해주세요."
"23","지원동기를 말해주세요"
"24","회사 지원동기 말고 직무지원동기를 말해주세요."
"25","자기소개를 해보세요."
"26","취미/특기를 말해보세요."
"27","본인의 해외경험과 경력관련 내용에 대해 말해보세요."
"28","본인이 가장 흥미롭게 들었던 수업은 무엇이었고 그 이유는 무엇인가요?"
"29","좋아하는 일과 잘하는 일 중에 어느 것을 직업으로 하는게 좋다고 생각하나요?"
"30","본인에게 있어 가장 힘들었던 경험은 무엇인가요?"
"31","CVD 공정에서 Void가 생기는 것을 방지하기 위한 방법으로는 어떤 것이 있을까요?"
"32","본인의 창의적인 경험은 무엇이 있었나요?"
"33","본인이 큰 목표를 달성해서 삼성전자 인턴을 소홀히 했다고 생각하는데 우리 회사에 입사하면 그것도 큰 목표를 달성한 것이겠네요?"
