"","이름","산업","매출"
"1","삼성전자(주)","정보통신 외","2,368,070"
"2","현대자동차(주)","자동차","1,039,976"
"3","국민건강보험공단","공공.행정","925,950"
"4","SK(주)","지주.홀딩스.기타","818,201"
"5","LG전자(주)","정보통신 외","632,620"
"6","기아(주)","자동차","591,681"
"7","한국전력공사","공공.행정","585,693"
"8","한국전력공사(주)","에너지 외","585,693"
"9","(주)포스코","철강.금속","577,928"
"10","(주)KB금융지주","은행.지주","558,495"
"11","농협금융지주 주식회사","은행.지주","509,405"
"12","(주)한화","화학","509,265"
"13","(주)신한금융지주회사","은행.지주","490,272"
"14","(주)하나금융지주","은행.지주","482,159"
"15","현대모비스(주)","자동차","366,265"
"16","주식회사 하나은행","은행.지주","346,729"
"17","SK이노베이션(주)","석유","341,645"
"18","한국산업은행","은행.지주","328,121"
"19","CJ(주)","지주.홀딩스.기타","319,991"
"20","에스케이하이닉스(주)","반도체","319,004"
"21","삼성디스플레이 주식회사","IT.전자","304,748"
"22","삼성물산(주)","유통(도소매)","302,161"
"23","(주)LG화학","화학","300,765"
"24","(주)메리츠금융지주","은행.지주","284,706"
"25","국민연금공단","공공.행정","263,713"
"26","(주)우리은행","은행.지주","259,729"
"27","한국토지주택공사","공공.행정","244,336"
"28","CJ제일제당(주)","식품","242,457"
"29","엘지디스플레이(주)","IT.전자","242,301"
"30","(주)케이티","정보통신 외","239,167"
"31","(주)신한은행","은행.지주","238,748"
"32","(주)국민은행","은행.지주","234,626"
"33","GS칼텍스(주)","석유","223,006"
"34","(주)이마트","유통(도소매)","220,330"
"35","(주)포스코인터내셔널","유통(도소매)","214,724"
"36","한국가스공사","공공.행정","208,337"
"37","한국가스공사(주)","에너지 외","208,337"
"38","(주)한국스탠다드차타드은행","은행.지주","202,956"
"39","에스케이트레이딩인터내셔널 주식회사","유통(도소매)","202,939"
"40","SK에너지 주식회사","석유","201,598"
"41","삼성화재","보험","198,752"
"42","현대중공업지주주식회사","석유","189,110"
"43","SK텔레콤(주)","정보통신 외","186,247"
"44","삼성생명보험(주)","보험","180,270"
"45","현대제철(주)","철강.금속","180,234"
"46","중소기업은행","은행.지주","178,301"
"47","현대건설(주)","건설","169,709"
"48","(주)두산","전문기술 외","169,693"
"49","S-Oil(주)","석유","168,297"
"50","메리츠증권(주)","증권.투자","166,049"
"51","현대글로비스(주)","운송 외","165,199"
"52","한국투자금융지주(주)","은행.지주","165,143"
"53","롯데쇼핑(주)","유통(도소매)","161,844"
"54","(주)한국씨티은행","은행.지주","159,791"
"55","(주)GS","지주.홀딩스.기타","154,442"
"56","한국투자증권주식회사","증권.투자","152,000"
"57","미래에셋증권(주)","증권.투자","151,954"
"58","두산중공업(주)","기계","151,324"
"59","한국조선해양(주)","조선.항공","149,037"
"60","현대해상화재보험(주)","보험","143,876"
"61","DB손해보험(주)","보험","139,522"
"62","쿠팡 주식회사","유통(도소매)","139,236"
"63","농협은행 주식회사","은행.지주","138,438"
"64","현대오일뱅크주식회사","석유","136,899"
"65","(주)LG유플러스","정보통신 외","134,176"
"66","농협경제지주주식회사","지주.홀딩스.기타","123,946"
"67","엔에이치투자증권(주)","증권.투자","122,864"
"68","롯데케미칼(주)","화학","122,230"
"69","삼성SDI(주)","정보통신 외","112,948"
"70","(주)LG상사","유통(도소매)","112,826"
"71","메리츠화재해상보험(주)","보험","111,326"
"72","삼성에스디에스(주)","IT.전자","110,174"
"73","(주)KB손해보험","보험","109,259"
"74","삼성증권(주)","증권.투자","108,166"
"75","씨제이대한통운(주)","운송 외","107,811"
"76","SK네트웍스(주)","유통(도소매)","106,259"
"77","(주)LS","지주.홀딩스.기타","104,443"
"78","한화생명보험(주)","보험","102,324"
"79","지에스건설(주)","건설","101,229"
"80","케이비증권 주식회사","증권.투자","100,559"
"81","한국수력원자력","공공.행정","99,997"
"82","한국수력원자력주식회사","에너지 외","99,997"
"83","KB증권","증권.투자","98,714"
"84","한국도로공사","공공.행정","95,575"
"85","엘지이노텍(주)","IT.전자","95,418"
"86","한화솔루션(주)","화학","91,950"
"87","롯데지주(주)","지주.홀딩스.기타","90,866"
"88","신한금융투자 (주)","증권.투자","90,844"
"89","교보생명보험주식회사","보험","89,641"
"90","(주)지에스리테일","유통(도소매)","88,623"
"91","에스케이에코플랜트 (주)","건설","87,115"
"92","하나금융투자 주식회사","증권.투자","85,884"
"93","한국수출입은행","은행.지주","85,580"
"94","한국지엠 (주)","자동차","85,061"
"95","SK종합화학 주식회사","화학","84,664"
"96","코리안리재보험(주)","보험","83,771"
"97","현대중공업(주)","조선.항공","83,120"
"98","삼성전기(주)","IT.전자","82,087"
"99","(주)대우건설","건설","81,367"
"100","엘에스니꼬동제련주식회사","철강.금속","79,798"
"101","한국리테일투자 주식회사","지주.홀딩스.기타","79,515"
"102","두산인프라코어(주)","기계","79,341"
"103","(주)LG생활건강","화학","78,445"
"104","(주)포스코건설","건설","77,944"
"105","(주)하림지주","지주.홀딩스.기타","77,233"
"106","홈플러스홀딩스(주)","식품","76,598"
"107","홈플러스스토어즈(주)","유통(도소매)","76,521"
"108","(주)대한항공","운송 외","76,062"
"109","고려아연(주)","철강.금속","75,819"
"110","모건스탠리은행","은행.지주","74,704"
"111","한국인베스트먼트(주)","사업지원","73,503"
"112","노무라금융투자 주식회사","증권.투자","73,055"
"113","현대트랜시스주식회사","자동차","72,536"
"114","현대엔지니어링(주)","엔지니어링","71,884"
"115","대우조선해양(주)","조선.항공","70,302"
"116","(주)동원엔터프라이즈","지주.홀딩스.기타","70,109"
"117","홈플러스 주식회사","유통(도소매)","69,662"
"118","동양생명보험(주)","보험","69,490"
"119","한온시스템(주)","기계","68,728"
"120","한국연구재단","공공.행정","68,696"
"121","삼성중공업(주)","조선.항공","68,603"
"122","한화토탈 주식회사","화학","67,627"
"123","삼성엔지니어링(주)","엔지니어링","67,492"
"124","(주)LG","지주.홀딩스.기타","66,321"
"125","현대위아(주)","자동차","65,922"
"126","농협생명보험주식회사","보험","64,959"
"127","한국타이어앤테크놀로지(주)","고무.플라스틱 외","64,531"
"128","에이치엠엠(주)","운송 외","64,133"
"129","(주)비지에프리테일","유통(도소매)","61,813"
"130","호주뉴질랜드","은행.지주","60,299"
"131","한화손해보험(주)","보험","59,647"
"132","(주)DGB금융지주","은행.지주","58,837"
"133","에스케이이엔에스(주)","에너지 외","57,495"
"134","(주)만도","자동차","55,635"
"135","국민체육진흥공단","공공.행정","53,471"
"136","메르세데스 벤츠 코리아 주식회사","자동차","53,382"
"137","한화에어로스페이스(주)","조선.항공","53,214"
"138","네이버(주)","정보통신 외","53,041"
"139","(주)케이티앤지","식품","53,016"
"140","(주)BNK금융지주","은행.지주","52,124"
"141","동국제강(주)","철강.금속","52,062"
"142","효성티앤씨(주)","화학","51,616"
"143","롯데건설주식회사","건설","50,979"
"144","(주)다우데이타","IT.전자","50,939"
"145","(주)케이씨씨","화학","50,836"
"146","한국철도공사","공공.행정","49,586"
"147","(주)아모레퍼시픽그룹","화학","49,301"
"148","(주)코오롱","지주.홀딩스.기타","48,902"
"149","LS전선(주)","정보통신 외","48,315"
"150","금호석유화학(주)","화학","48,095"
"151","(주)신세계","유통(도소매)","47,693"
"152","(주)판토스","운송 외","47,634"
"153","(주)다우기술","정보통신 외","47,329"
"154","(주)이랜드월드","유통(도소매)","46,315"
"155","(주)코스트코 코리아","유통(도소매)","45,229"
"156","에스케이디스커버리(주)","지주.홀딩스.기타","45,195"
"157","흥국화재해상보험(주)","보험","44,930"
"158","(주)아모레퍼시픽","화학","44,322"
"159","SK가스(주)","에너지 외","44,123"
"160","한국중부발전","공공.행정","43,577"
"161","한국중부발전 주식회사","에너지 외","43,577"
"162","한국남동발전","공공.행정","43,473"
"163","한국남동발전 주식회사","에너지 외","43,473"
"164","한국장학재단","공공.행정","43,406"
"165","한국남부발전","공공.행정","43,049"
"166","한국남부발전주식회사","에너지 외","43,049"
"167","두산밥캣 주식회사","기계","42,821"
"168","(주)파리크라상","식품","42,729"
"169","(주)세아홀딩스","철강.금속","42,574"
"170","한국동서발전(주)","공공.행정","41,879"
"171","한국동서발전주식회사","에너지 외","41,879"
"172","(주)카카오","정보통신 외","41,568"
"173","한국농어촌공사","공공.행정","41,141"
"174","SK인천석유화학(주)","석유","40,942"
"175","코리아세븐(주)","유통(도소매)","40,684"
