"","이름","상세 산업","매출"
"1","삼성전자(주)","정보통신 외","2,368,070"
"2","LG전자(주)","자동차","632,620"
"3","에스케이하이닉스(주)","공공.행정","319,004"
"4","삼성디스플레이 주식회사","지주.홀딩스.기타","304,748"
"5","엘지디스플레이(주)","정보통신 외","242,301"
"6","(주)케이티","자동차","239,167"
"7","SK텔레콤(주)","공공.행정","186,247"
"8","(주)LG유플러스","에너지 외","134,176"
"9","삼성SDI(주)","철강.금속","112,948"
"10","삼성에스디에스(주)","은행.지주","110,174"
"11","엘지이노텍(주)","은행.지주","95,418"
"12","삼성전기(주)","화학","82,087"
"13","네이버(주)","은행.지주","53,041"
"14","(주)다우데이타","은행.지주","50,939"
"15","LS전선(주)","자동차","48,315"
"16","(주)다우기술","은행.지주","47,329"
"17","(주)카카오","석유","41,568"
"18","롯데하이마트(주)","은행.지주","40,517"
"19","에스케이브로드밴드(주)","지주.홀딩스.기타","37,135"
"20","(주)씨제이이엔엠","반도체","33,912"
"21","주식회사엘지씨엔에스","IT.전자","33,605"
"22","삼성전자판매 주식회사","유통(도소매)","32,977"
"23","효성중공업(주)","화학","29,840"
"24","주식회사 하이프라자","은행.지주","28,905"
"25","앰코테크놀로지코리아(주)","공공.행정","26,278"
"26","희성전자주식회사","은행.지주","25,918"
"27","넷마블(주)","공공.행정","24,848"
"28","주식회사 유라","식품","24,397"
"29","(주)엔씨소프트","IT.전자","24,162"
"30","엘에스일렉트릭 주식회사","정보통신 외","24,027"
"31","(주)아이티센","은행.지주","22,751"
"32","(주)한샘","은행.지주","20,675"
"33","현대일렉트릭앤에너지시스템(주)","석유","18,113"
"34","씨제이이앤엠(주)","유통(도소매)","17,501"
"35","SK실트론 주식회사","유통(도소매)","17,006"
"36","엔에이치엔(주)","공공.행정","16,752"
"37","(주)크래프톤","에너지 외","16,704"
"38","한화시스템(주)","은행.지주","16,429"
"39","우리바이오(주)","유통(도소매)","16,234"
"40","대한전선(주)","석유","15,968"
"41","삼지전자(주)","보험","15,895"
"42","현대오토에버(주)","석유","15,626"
"43","소니코리아주식회사","정보통신 외","15,336"
"44","(주)뉴옵틱스","보험","15,110"
"45","제이셋스태츠칩팩코리아(유)","철강.금속","14,384"
"46","에이치엘그린파워주식회사","은행.지주","13,835"
"47","(주)엠씨넥스","건설","13,113"
"48","한화큐셀코리아(주)","전문기술 외","12,798"
"49","(주) 넥슨코리아","석유","12,546"
"50","세방전지(주)","증권.투자","12,528"
"51","(주)지에스홈쇼핑","운송 외","12,457"
"52","(주)심텍홀딩스","은행.지주","12,017"
"53","(주)심텍","유통(도소매)","12,014"
"54","한솔테크닉스(주)","은행.지주","11,949"
"55","에이치피프린팅코리아 유한회사","지주.홀딩스.기타","11,934"
"56","(주)파트론","증권.투자","11,793"
"57","(주)엘엑스세미콘","증권.투자","11,619"
"58","서울반도체(주)","기계","11,531"
"59","에이치솔루션 주식회사","조선.항공","11,515"
"60","주식회사 네오플","보험","11,397"
"61","(주)모베이스","보험","11,370"
"62","주식회사 문화방송","유통(도소매)","11,317"
"63","주식회사 우아한형제들","은행.지주","10,995"
"64","주식회사 솔루엠","석유","10,765"
"65","(주)엘지헬로비전","정보통신 외","10,579"
"66","(주)드림텍","지주.홀딩스.기타","10,458"
"67","펍지 주식회사","증권.투자","10,450"
"68","(주)컴퓨존","화학","10,288"
"69","SK매직(주)","정보통신 외","10,246"
"70","주식회사 DB하이텍","유통(도소매)","9,359"
"71","(주)케이티씨에스","보험","9,317"
"72","(주)파워로직스","IT.전자","9,272"
"73","효성티앤에스(주)","보험","9,098"
"74","(주)코리아써키트","증권.투자","9,021"
"75","엠케이전자(주)","운송 외","8,758"
"76","(주)위니아딤채","유통(도소매)","8,756"
"77","(주)휴맥스","지주.홀딩스.기타","8,746"
"78","(주)경동나비엔","보험","8,734"
"79","한국알프스 주식회사","건설","8,692"
"80","(주)캠시스","증권.투자","8,669"
"81","(주)SBS","공공.행정","8,603"
"82","가온전선(주)","에너지 외","8,574"
"83","(주)에코프로비엠","증권.투자","8,547"
"84","(주)에스와이에스리테일","공공.행정","8,504"
"85","롯데정보통신(주)","IT.전자","8,495"
"86","주식회사 삼동","화학","8,408"
"87","(주)디티알오토모티브","지주.홀딩스.기타","8,239"
"88","(주)케이지이니시스","증권.투자","8,102"
"89","한국단자공업(주)","보험","8,025"
"90","어플라이드 머티어리얼즈 코리아(주)","유통(도소매)","7,979"
"91","(주)하이브","건설","7,963"
"92","엘티메탈 주식회사 (구. 희성금속)","증권.투자","7,789"
"93","인탑스(주)","은행.지주","7,778"
"94","(주)인지디스플레이","자동차","7,645"
"95","델인터내셔날 주식회사","화학","7,624"
"96","영풍전자(주)","보험","7,608"
"97","주식회사 경신홀딩스","조선.항공","7,523"
"98","대원씨티에스 주식회사","IT.전자","7,404"
"99","한국휴렛팩커드주식회사","건설","7,333"
"100","(주)비에이치","철강.금속","7,214"
"101","일진전기(주)","지주.홀딩스.기타","7,079"
"102","에스케이하이닉스시스템아이씨 주식회사","기계","7,030"
"103","(주)케이티스카이라이프","화학","6,987"
"104","주식회사 신흥정밀","건설","6,886"
"105","에이에스이코리아 (주)","지주.홀딩스.기타","6,873"
"106","(주)케이티엠앤에스","식품","6,612"
"107","(주)더블유게임즈","유통(도소매)","6,582"
"108","(유)스태츠칩팩코리아","운송 외","6,579"
"109","(주)티브로드","철강.금속","6,551"
"110","주식회사 한국아트라스비엑스","은행.지주","6,510"
"111","비테스코 테크놀로지스 코리아 (주)","사업지원","6,310"
"112","(주)이랜텍","증권.투자","6,257"
"113","엔에이치엔한국사이버결제(주)","자동차","6,248"
"114","타이코에이엠피주식회사","엔지니어링","6,242"
"115","네이버클라우드 주식회사","조선.항공","6,221"
"116","대덕전자(주)","지주.홀딩스.기타","6,206"
"117","암페놀엠씨피코리아 유한회사","유통(도소매)","6,198"
"118","(주)성철사","보험","6,020"
"119","온세미컨덕터코리아(주)","기계","5,920"
"120","씨제이씨지브이(주)","공공.행정","5,834"
"121","(주)에스엠엔터테인먼트","조선.항공","5,799"
"122","(주)케이씨","화학","5,764"
"123","(주)에스에프에이반도체","엔지니어링","5,731"
"124","매그나칩반도체 유한회사","지주.홀딩스.기타","5,661"
