"","question"
"1","팀원 중 한명이 능력이 떨어지면 어떻게 할것인가?"
"2","OO씨가 생각하는 리더십이란 무엇이가?"
"3","입사해 제품을 개발한다면 어떤 제품을 개발하고 싶은가?"
"4","입사를 한다면 어떤식으로 업무에 응할 것인지"
"5","경력직 이직인데 이직한 이유가 있는지"
"6","업무절차 프로세스 질문을 함 ex)관공서 대응"
"7","자기소개"
"8","이직 사유"
"9","마지막으로 하구 싶은 말"
"10","아르바이트 경험"
"11","왜 지원을 했는지"
"12","잠은 잘 자는 편인지"
"13","동아리 활동"
"14","기업의 사회적책임에 대해서 어떻게 생각하는가?"
"15","전자공학전공이신데 왜 공정기술직무로 지원하셨나요?"
"16","대외활동중에서 가장 기억에 남는 활동은?"
"17","설비를 직접해본적이 있는가?"
"18","~~으로 상을 받았는데 ~~은 무엇인가?"
"19","자격증 무엇을 땄는가?"
"20","부당한 지시가 있다면 어떻게 할 것인가?"
"21","선배에게 정당한 지시를 하려고 하면 어떻게 할 것인가?"
"22","p형, n형 반도체는 무엇인가?"
"23","본인의 창의적인 경험을 말해보세요."
"24","본인의 학점이 상당히 좋은데 대학시절 혹시 공부만 한 건 아니었나요? or 비결이 무엇이라고 생각하나요?"
"25","우리 회사에서 인턴을 했는데 최종면접에서 전환이 안 되었는데 그 이유는 무엇이라고 생각하나요?"
"26","LOCOS 공정에 대해 설명해 보세요."
"27","conformal한 증착을 위해 필요한 조건을 아는 대로 말해 보세요."
"28","이전직장에서 무슨업무했는지?"
"29","왜 이직하는지?"
"30","그 전 회사가 다수일경우 두개회사 비교질문"
"31","포트폴리오 기반 질문"
"32","갈등 발생 시 어떻게 해결"
"33","상사와 트러블 시 어떻게 해결"
"34","스스로의 강점? 다른 지원자보다 우수하다고 생각하는점"
"35","입사전경험은무엇인지?"
"36","전공을 어떻게 살리고 싶은지?"
"37","해본 직무들은 어떤것이 있나요?"
"38","현대자동차에대해 어떻게 생각하시나요?"
"39","자동차란 무엇입니까?"
"40","프로젝트 진행 중 고충 및 해결방안"
"41","학점이 많이 낮은데 왜그런건지"
"42","만일 떨어지면 다른데 지원할곳 있는지"
"43","회사를 선택한 이유"
"44","기억에 남았던 실습"
"45","나의 장점"
"46","강약점"
"47","취미생활"
"48","어려운점 극복"
"49","경력사항과 퇴사이유"
"50","취미와 특기"
"51","자격증 관련 질문"
"52","간단한 자기소개 한번 해보세요."
"53","입사를 하게되면 2년 계약직으로 근무하는데 어떤 미래를 바라보고 근무 할건가요??"
"54","경력사항이 별로 없는데 이유가 있나요??"
"55","자격증 관련 용어 질문"
"56","자소서 기반한 질문"
"57","출근에 관련한 질문"
"58","그 전 회사는 왜 퇴사했어요?"
"59","비영리쪽 커리어는 생각을 안해봤어요?"
"60","왜 무인 택배가 상용화되려는 움직임이 있는 것 같아요?"
"61","성격 장단점 / 자소서기반 질문"
"62","10년후 입사후 포부 / 자소서기반 질문"
"63","성장과정/ 자소서기반 질문"
"64","이전 근무지에서 트러블은 없었나?"
"65","직무를 위해 준비한게 있나?"
"66","본인성격의 단점이 뭐라고생각하나?"
"67","최근 한전 이슈는?"
"68","어느 직무를 하고싶은지? 하고 싶은 직무 있는지?"
"69","1분 자기소개"
"70","지난 직장의 경력소개"
"71","학교소개"
"72","경력이 상이한데 어떻게 적응할지"
"73","본인의 좌우명은?"
"74","어느 위치까지 올라가고 싶은가?"
"75","회사 지원동기"
"76","경력에 대한 세부 질문"
"77","실무에 대한 질문 (철골기준, 콘크리트 타설기준 등)"
"78","이직사유"
"79","이전 회사에서 퇴사한 사유"
"80","통근 하는데 문제는 없는지?"
"81","출근시간이 이른데 괜찮은지?"
